Green-to-Blue,RGB,"33, 89, 44","135, 175, 63","118, 163, 138","101, 150, 207","32, 105, 138"
Blues,RGB,"9, 58, 81","32, 105, 138","101, 150, 207","182, 204, 230","217, 233, 252"
Greens,RGB,"24, 60, 32","33, 89, 44","135, 175, 63","196, 215, 163","229, 243, 205"
