red,RGB,"211, 89, 28"
yellow,RGB,"236, 186, 102"
green,RGB,"135, 175, 63"
teal,RGB,"88, 191, 172"
blue,RGB,"101, 150, 207"
purple,RGB,"202, 127, 204"
